guidelink,channel_id,channel_slug,channel_name,channel_name_location,channel_name_real,chantype,chancomp,channel_url,chanbouq,chanlcnfta1,chanlcnfta2,chanlcnfta3,chanlcnfox,chanlcnfet,channel_number,chlogo_light,chlogo_dark,channel_group,channel_type,chlogo
1004.fetch.au,1004.fetch.au,1004-fetch-au,beIN Sports 1,beIN Sports 1,beIN Sports 1,HD 720p,,,"[2271, 4009, 3150]",0,0,0,513,157,,https://i.imgur.com/PDoXhVK.png,https://i.imgur.com/PDoXhVK.png,beIN Media Group,Sport,https://i.imgur.com/PDoXhVK.png
1073.fetch.au,1073.fetch.au,1073-fetch-au,Fashion TV,Fashion TV,FashionTV,SD 576i,,,"[3157, 3150]",0,0,0,0,243,,https://i.imgur.com/Yiiubbu.png,https://i.imgur.com/Yiiubbu.png,Michel Adam Lisowski,Entertainment,https://i.imgur.com/Yiiubbu.png
1073.fetch.au,1073.fetch.au,1073-fetch-au,Fashion TV,Fashion TV,FashionTV,SD 576i,,,"[2011, 2010, 2013, 2099, 2016]",0,0,0,151,0,,https://i.imgur.com/Yiiubbu.png,https://i.imgur.com/Yiiubbu.png,Michel Adam Lisowski,Entertainment,https://i.imgur.com/Yiiubbu.png
1073.fetch.au,1073.fetch.au,1073-fetch-au,Fashion TV,Fashion TV,Fashion TV,HD 720p,,,"[2251, 4008, 2016]",0,0,0,151,0,,https://i.imgur.com/Yiiubbu.png,https://i.imgur.com/Yiiubbu.png,Michel Adam Lisowski,Entertainment,https://i.imgur.com/Yiiubbu.png
1073.fetch.au,1073.fetch.au,1073-fetch-au,Fashion TV,Fashion TV,Fashion TV,HD 720p,,,"[3325, 3321]",0,0,0,145,0,,https://i.imgur.com/Yiiubbu.png,https://i.imgur.com/Yiiubbu.png,Michel Adam Lisowski,Entertainment,https://i.imgur.com/Yiiubbu.png
1080797.10play.au,1080797.10play.au,1080797-10play-au,10 Sport,10 Sport,10 Sport,SD 480p,,,"[3851, 3852, 3853, 3854, 3771, 5000, 5001, 5002, 5003, 5004, 5005, 5054, 5010, 5055, 3740]",0,0,0,0,0,,https://i.imgur.com/WGOzXDK.png,https://i.imgur.com/I8VXHl5.png,10 Network,Sport,https://i.imgur.com/WGOzXDK.png
1080802.10play.au,1080802.10play.au,1080802-10play-au,10 Sport 2,10 Sport 2,10 Sport 2,SD 480p,,,"[3851, 3852, 3853, 3854, 3771, 5000, 5001, 5002, 5003, 5004, 5005, 5054, 5010, 5055, 3740]",0,0,0,0,0,,https://i.imgur.com/WGOzXDK.png,https://i.imgur.com/I8VXHl5.png,10 Network,Sport,https://i.imgur.com/WGOzXDK.png
1080804.10play.au,1080804.10play.au,1080804-10play-au,10 Sport 3,10 Sport 3,10 Sport 3,SD 480p,,,"[3851, 3852, 3853, 3854, 3771, 5000, 5001, 5002, 5003, 5004, 5005, 5054, 5010, 5055, 3740]",0,0,0,0,0,,https://i.imgur.com/WGOzXDK.png,https://i.imgur.com/I8VXHl5.png,10 Network,Sport,https://i.imgur.com/WGOzXDK.png
1080806.10play.au,1080806.10play.au,1080806-10play-au,10 Sport 4,10 Sport 4,10 Sport 4,SD 480p,,,"[3851, 3852, 3853, 3854, 3771, 5000, 5001, 5002, 5003, 5004, 5005, 5054, 5010, 5055, 3740]",0,0,0,0,0,,https://i.imgur.com/WGOzXDK.png,https://i.imgur.com/I8VXHl5.png,10 Network,Sport,https://i.imgur.com/WGOzXDK.png
1082977.10play.au,1082977.10play.au,1082977-10play-au,10 Sport 5,10 Sport 5,10 Sport 5,SD 480p,,,"[3851, 3852, 3853, 3854, 3771, 5000, 5001, 5002, 5003, 5004, 5005, 5054, 5010, 5055, 3740]",0,0,0,0,0,,https://i.imgur.com/WGOzXDK.png,https://i.imgur.com/I8VXHl5.png,10 Network,Sport,https://i.imgur.com/WGOzXDK.png
